ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
ShowDBGrid	Таблица	База данных	Показать запрос в виде таблицы Показать таблицу		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
Requery	Перезапустить запрос	База данных	Перезапустить запрос Перезапустить запрос		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
DBaseInfo	Свойства базы данных...	База данных	Свойства базы данных Свойства базы данных		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
GenerateReportByQuery	Создать отчет по запросу	База данных	Создать отчет по запросу Создать отчет по запросу		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll	Landscape:int=0; Name:string		
ExecuteSQL	Выполнить запрос на SQL	База данных	Выполнить запрос на SQL Выполнить запрос на SQL		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ChooseFilter	Выбрать фильтр	База данных	Выбрать фильтр Выбрать фильтр		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll	FilterName:string		
CreateFilter	Добавить условие фильтра	База данных	Добавить новое условие фильтра по выбранному полю Добавить условие фильтра		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ApplyFilter	Применить фильтр	База данных	Применить фильтр, повторное нажатие - отменить фильтр Применить фильтр		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
SaveFilter	Сохранить фильтр	База данных	Сохранить фильтр Сохранить фильтр		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
FilterOrganizer	Редактор фильтров...	База данных	Редактор фильтров Редактор фильтров		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
OpenQuery	Открыть запрос	База данных	Открыть запрос Открыть запрос		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
CloseQuery	Закрыть запрос	База данных	Закрыть запрос Закрыть запрос		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
GalleryOptions	Установки галереи...	База данных	Установки галереи Установки галереи		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
QueryWizard	Свойства запроса...	База данных	Свойства запроса Свойства запроса		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ConvertVT4Dbase	Конвертировать базу данных VT4	База данных	Конвертировать базу данных VT4 в формат, используемый в VT5 Конвертировать базу данных VT4		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
EditMarker	Произвольный маркер	Измерения	Калибровочный маркер произвольной длины Произвольный маркер	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	X:int=0; Y:int=0; Length:double=0; Precision:int=1		
EditArrow	Стрелка	Редактор	Нанести стрелку на изображение: левая кнопка мыши Стрелка	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
EditCircleArrow	Set Circle Arrow	Редактор	Set circle arrow to the image Circle arrow	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
EditLine	Прямая линия	Редактор	Рисовать: левая или правая кнопка мыши. Shift-доп. возможности. Ctrl-Пипетка. Прямая линия	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	X1:int=0; Y1:int=0; X2:int=0; Y2:int=0		
EditFreeLine	Произвольная линия	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Произвольная линия	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
EditSplainLine	Линия сплайном	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Завершение-двойное нажатие левой кнопки. Линия сплайном	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
EditCircle	Окружность	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Окружность	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	X:int=0; Y:int=0; D:int=0		
EditRect	Прямоугольник	Редактор	Рисовать: левая или правая кнопка мыши. Shift-доп. возможности. Ctrl-Пипетка. Прямоугольник	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
AutoBack	Auto Background	Internal Actions	Auto background Auto background		c:\vt5\vt5\x64\Debug\comps\Editor.dll			
PickColor	Пипетка	Редактор	Выбор цвета на изображении: правая или левая кнопки мыши Пипетка	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	X:int=-1; Y:int=-1; SetBack:int=-1; SaveResult:int=1		
FloodFill	Заливка	Редактор	Заливка однородным цветом: правая или левая кнопка мыши. Ctrl-Пипетка. Заливка	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	SetBack:int=-1		
Dodge	Осветление	Преобразования	Осветлить участки изображения Осветление	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
Burn	Затемнение	Преобразования	Затемнить участки изображения Затемнение	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
BinEditLine	Прямая линия на бинарном изображении	Редактор бинарного	Нанести прямую линию на бинарное изображение. Shift - дополнительные возможности. Прямая линия на бинарном изображении	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	X1:int=0; Y1:int=0; X2:int=0; Y2:int=0		
BinEditFreeLine	Произвольная линия на бинарном изображении	Редактор бинарного	Нанести произвольную линию на бинарное изображение Произвольная линия на бинарном изображении	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
BinEditSplainLine	Линия сплайном на бинарном изображении	Редактор бинарного	Линия сплайном на бинарном изображении. Завершение - двойное нажатие левой кнопки мыши Линия сплайном на бинарном изображении	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
EditPolyline	Ломаная линия	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Завершение-двойное нажатие левой кнопки. Ломаная линия	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
