ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
FourierHilight	Выделить области спектра	FFT	Выделить области со спектра  Фурье Выделить области спектра	 (filter)		Inside:bool=1; SelectedArea:Image	ResImage:Image	
GrayThresholdingBinAutoMute	Выделить маски на полутоновом	Фильтры	Выделить маски на полутоновом Выделить маски на полутоновом			LightOnDark:bool=0; PaneNum:int=-1; Image:Image		
GrayThresholdingBinAuto	Выделить маски на полутоновом	Фильтры	Выделить маски на полутоновом Выделить маски на полутоновом	 (filter)		LightOnDark:bool=0; PaneNum:int=-1; Image:Image	ThresholdingGrayAuto:Binary	
GrayThresholding	Выделение масок на полутоновом	Фильтры	Выделение масок на полутоновом Выделение масок на полутоновом	 (filter)		Low:int=96; High:int=192; Image:Image; PaneNum:int=-1	ObjectList:Object List	
AddRemoveColor	Добавить/удалить цвет	Internal Actions	Добавить/удалить цвет Добавить/удалить цвет	 (interactive)		X:int=-1; Y:int=-1		
AddRemoveColorInterval	Добавить/удалить цветовой интервал	Internal Actions	Добавить или удалить цветовой интервал Добавить/удалить цветовой интервал	 (interactive)				
ExtractPhase	Выделить фазу	Internal Actions	Выделить фазу Выделить фазу	 (filter)		Class:int=-1; Image:Image	ObjectList:Object List	
GrayThresholdingBin	Выделить маски на полутоновом	Фильтры	Выделить маски на полутоновом Выделить маски на полутоновом	 (filter)		Low:int=96; High:int=192; Image:Image; PaneNum:int=-1	ThresholdingGray:Binary	
MeasurePhasesLight	Измерить фазы по маскам	Фильтры	Измерить фазы по маскам Измерить фазы по маскам	 (filter)		BaseImage:Image; BinImage:Binary; Calc:int=1; Phase:int=-1; CopyPhases:int=1; ClassifierName:string	MeasureBin:Object List	
MeasurePhases	Измерить фазы по маскам	Фильтры	Измерить фазы по маскам Измерить фазы по маскам	 (filter)		BaseImage:Image; BinImage:Binary; Calc:int=1; Phase:int=-1; CopyPhases:int=0; ClassifierName:string	MeasureBin:Object List	
MeasureBin	Измерить маски	Фильтры	Измерить маски Измерить маски	 (filter)		BaseImage:Image; BinImage:Binary; Calc:int=1; Phase:int=-1; CopyPhases:int=0	MeasureBin:Object List	
SmoothMasks	Сглаживание контуров масок	Фильтры	Сгладить контуры масок объектов Сглаживание масок	 (filter)		Size:int=7; Image:Binary	SmoothedContours:Binary	
CreateBinaryBySelection	Создать маски по рамке	Binary	Создать маски по рамке Создать маски по рамке	 (filter)		Selection:Image; Source:Image	BinImage:Binary	
CreateSelectionByBinary	Создать рамку по маскам	Binary	Создать рамку по маскам Создать рамку по маскам			Source:Image; BinImage:Binary	Selection:Image	
ResizeBin	ResizeBin	Binary	ResizeBin ResizeBin	 (filter)		cx:int=640; cy:int=480; BinImage:Binary	BinResult:Binary	
Erode	Эрозия	Internal Actions	Применить фильтр Эрозия к активному изображению Эрозия	 (filter)		MaskSize:int=5; Source:Image	Erode:Image	
Dilate	Дилатация	Internal Actions	Применить фильтр Дилатация к активному изображению Дилатация	 (filter)		MaskSize:int=5; Source:Image	Dilate:Image	
Open	Открытие	Фильтры	Применить фильтр Открытие к активному изображению Открытие	 (filter)		MaskSize:int=5; Source:Image	Open:Image	
Close	Закрытие	Internal Actions	Применить фильтр Закрытие к активному изображению Закрытие	 (filter)		MaskSize:int=5; Source:Image	Close:Image	
Boundary	Границы	Internal Actions	Применить фильтр Усиление Границ к текущему изображению Границы	 (filter)		MaskSize:int=5; Power:int=3; Source:Image	Boundary:Image	
UltimateErosion	UltimateErosion	Binary	UltimateErosion UltimateErosion	 (filter)		Method:int=3; Algorythm:int=1; BinImage:Binary	BinResult:Binary	
MorphDivideExBin	Расширенное морфологическое разделение масок	Binary	Расширенное морфологическое разделение масок Расширенное морфологическое разделение масок	 (filter)		Method:int=3; Algorythm:int=1; BinImage:Binary	BinResult:Binary	
BinaryExtractPhases	Выделить маски фаз	Internal Actions	Выделить маски фаз Выделить маски фаз	 (filter)		Source:Image	Phase:Binary	
Negative	Негатив	Преобразования	Преобразовать активное изображение в негатив Негатив	 (filter)		Source:Image	Negative:Image	
Emboss	Рельеф	Internal Actions	Создать рельефное изображение Рельеф	 (filter)		Source:Image	Emboss:Image	
BrightContrast	Яркость&Контраст	Internal Actions	Изменить яркость и контраст активного изображения Яркость&Контраст	 (filter)		Brightness:int=0; Contrast:int=0; Gamma:double=0; Source:Image	BriContrast:Image	
Sharping	Резкость	Фильтры	Применить фильтр Резкость к активному изображению Резкость	 (filter)		Strength:int=0; Source:Image	Sharping:Image	
Median	Сглаживание по медиане	Фильтры	Применить сглаживание по медиане к активному изображению Сглаживание по медиане	 (filter)		MaskSize:int=5; Source:Image	Median:Image	
Average	Сглаживание с усреднением	Internal Actions	Применить сглаживание с усреднением к активному изображению Сглаживание с усреднением	 (filter)		MaskSize:int=5; Source:Image	Average:Image	
Laplas	Лаплас	Фильтры	Применить фильтрацию методом Лапласа к активному изображению Лаплас	 (filter)		Add:int=0; Source:Image	Laplas:Image	
Equalize	Выравнивание	Internal Actions	Выровнять активное изображение Выравнивание	 (filter)		FullByFrame:int=0; Source:Image	Equalize:Image	
LocalEqualize	Локальное выравнивание	Фильтры	Выровнять активное изображение с использованием локального фильтра Локальное выравнивание	 (filter)		MaskSize:int=5; Source:Image	Equalize:Image	
Kirsch	Кирш	Фильтры	Применить фильтрацию по методу Кирша к активному изображению Кирш	 (filter)		Level:int=1; Add:int=0; Source:Image	Kirsch:Image	
ExtractPhases	Выделить фазы	Internal Actions	Выделить фазы Выделить фазы	 (filter)		Source:Image	Phases:Image	
UnsharpenMask	Усиление резкости	Фильтры	Усиление общей резкости изображения Усиление резкости	 (filter)		MaskSize:int=5; Threshold:int=0; Strength:int=100; Source:Image	UnsharpenMask:Image	
EqualHists	Выравнивание гистограмм	Преобразования	Выравнивание гистограммы двух изображений Выравнивание гистограмм	 (filter)		Image0:Image; Image1:Image	EqualHists:Image	
EqualContrasts	Выравнивание контраста	Преобразования	Выравнивание контраста двух изображений Выравнивание контраста	 (filter)		Image0:Image; Image1:Image	Result Equal:Image	
FillHolesBin	Заполнение пустот в масках объектов	Binary	Заполнение пустот в масках объектов Заполнение пустот в масках объектов	 (filter)		Size:int=0; BinImage:Binary	BinResult:Binary	
FastAverage	Быстрое сглаживание с усреднением	Internal Actions	Применить быстрое сглаживание с усреднением к изображению Быстрое сглаживание с усреднением	 (filter)		MaskSize:int=5; SourceImage:Image; MaskSizeY:int=-1	Average:Image	
FastUnsharpenMask	Быстрое усиление резкости	Фильтры	Применить быстрое усиления резкости к активному изображению Быстрое усиление резкости	 (filter)		MaskSize:int=5; Threshold:int=0; Strength:int=100; Source:Image	UnsharpenMask:Image	
FastGradient	Быстрый градиент	Фильтры	Применить фильтр Быстрый градиент к активному изображению Быстрый градиент	 (filter)		MaskSize:int=5; Power:int=3; Base:int=32000; SourceImage:Image	Gradient:Image	
CutDocBySel	Обрезать данные в документе по рамке	Изображение	Обрезать данные в документе по рамке Обрезать данные в документе по рамке					
BranchSplit	BranchSplit	Filters	BranchSplit BranchSplit	 (filter)		BinImage:Binary	BinResult:Binary; DbgResult:Image	
Cipher	Cipher	Image	Cipher Image Cipher Image	 (filter)		NX:int=10; NY:int=10; Cipher:int=13; Image:Image	Ciphered:Image	
ShowCalibr	Показать маркер	View	Показать калибровочный маркер на изображении Показать маркер			Show:int=-1; SetToShellData:int=0		
ShowImage	Изображение с контурами	Вид	Показать изображение с контурами объектов Изображение с контурами					
ImageTransform	Масштабирование и поворот изображения	Правка	Масштабирование и поворот изображения Масштабирование и поворот изображения			ZoomX:double=1; ZoomY:double=1; Angle:double=0; PosX:int=0; PosY:int=0		
ShowObjects	Объекты на фоне	Вид	Показать изображение с обектами на фоне Объекты на фоне					
ShowMasks	Маски объектов	Вид	Показать изображение с масками объектов Маски объектов					
Resize	Изменить размер	Правка	Изменить размера изображения Изменить размер	 (filter)		Width:int=-1; Height:int=-1; Source:Image	Resized:Image	
Rotate	Произвольный поворот...	Изображение	Произвольный поворот изображения Произвольный поворот	 (filter)		Angle:int=0; Source:Image	Rotated:Image	
